Zaman,X_Koordinati,Y_Koordinati,Hastalik_Adi,Yayilma_Orani_%,Risk_Skoru
1777211789.98,0.500011203853114,3.04993966513877,Spider Mites,0.00,0.00
1777211790.03,0.500011203853114,3.04993966513877,Bacterial Spot,0.00,0.00
1777211790.08,0.500011203853114,3.04993966513877,Bacterial Spot,0.00,0.00
1777211790.10,0.500011203853114,3.04993966513877,Bacterial Spot,0.00,0.00
1777211790.13,0.500011203853114,3.04993966513877,Bacterial Spot,0.00,0.00
1777211790.17,0.500011203853114,3.04993966513877,Bacterial Spot,0.00,0.00
1777211790.21,0.500011203853114,3.04993966513877,Mosaic Virus,0.00,0.00
1777211790.23,0.500011203853114,3.04993966513877,Spider Mites,0.00,0.00
1777211790.28,0.500011203853114,3.04993966513877,Mosaic Virus,0.00,0.00
1777211790.44,0.500009489540687,3.12493966511914,Leaf_Miner,0.00,0.00
1777211790.44,0.500009489540687,3.12493966511914,Leaf_Miner,0.00,0.00
1777211790.47,0.500009489540687,3.12493966511914,Leaf_Miner,0.00,0.00
1777211790.47,0.500009489540687,3.12493966511914,Leaf_Miner,0.00,0.00
1777211790.50,0.500009489540687,3.12493966511914,Leaf_Miner,0.00,0.00
1777211790.50,0.500009489540687,3.12493966511914,Leaf_Miner,0.00,0.00
1777211790.54,0.500009489540687,3.12493966511914,Leaf_Miner,0.00,0.00
1777211790.54,0.500009489540687,3.12493966511914,Leaf_Miner,0.00,0.00
1777211790.57,0.500009489540687,3.12493966511914,Leaf_Miner,0.00,0.00
1777211790.57,0.500009489540687,3.12493966511914,Leaf_Miner,0.00,0.00
1777211790.62,0.500009489540687,3.12493966511914,Late Blight,0.00,0.00
1777211790.64,0.500009489540687,3.12493966511914,Late Blight,0.00,0.00
1777211790.74,0.500009489540687,3.12493966511914,Late Blight,0.00,0.00
1777211790.78,0.500009489540687,3.12493966511914,Late Blight,0.00,0.00
1777211790.81,0.500009489540687,3.12493966511914,Late Blight,0.00,0.00
1777211790.84,0.500008037536867,3.19993966510505,Late Blight,0.00,0.00
1777211790.87,0.500008037536867,3.19993966510505,Late Blight,0.00,0.00
1777211790.90,0.500008037536867,3.19993966510505,Late Blight,0.00,0.00
1777211790.95,0.500008037536867,3.19993966510505,Late Blight,0.00,0.00
1777211790.98,0.500008037536867,3.19993966510505,Leaf Mold,0.00,0.00
1777211791.01,0.500008037536867,3.19993966510505,Yellow Leaf Curl Virus,0.00,0.00
1777211791.06,0.500008037536867,3.19993966510505,Yellow Leaf Curl Virus,0.00,0.00
1777211791.08,0.500008037536867,3.19993966510505,Yellow Leaf Curl Virus,0.00,0.00
1777211791.12,0.500008037536867,3.19993966510505,Yellow Leaf Curl Virus,0.00,0.00
1777211791.14,0.500008037536867,3.19993966510505,Yellow Leaf Curl Virus,0.00,0.00
1777211791.19,0.500008037536867,3.19993966510505,Yellow Leaf Curl Virus,0.00,0.00
1777211791.21,0.500008037536867,3.19993966510505,Mosaic Virus,0.00,0.00
1777211791.26,0.500008037536867,3.19993966510505,Mosaic Virus,0.00,0.00
1777211791.28,0.500008037536867,3.19993966510505,Mosaic Virus,0.00,0.00
1777211791.31,0.500008037536867,3.19993966510505,Mosaic Virus,0.00,0.00
1777211791.36,0.500006807705559,3.27493966509495,Mosaic Virus,0.00,0.00
1777211791.42,0.500006807705559,3.27493966509495,Septoria,0.00,0.00
1777211791.45,0.500006807705559,3.27493966509495,Septoria,0.00,0.00
1777211791.48,0.500006807705559,3.27493966509495,Septoria,0.00,0.00
1777211791.52,0.500006807705559,3.27493966509495,Septoria,0.00,0.00
1777211791.55,0.500006807705559,3.27493966509495,Septoria,0.00,0.00
1777211791.58,0.500006807705559,3.27493966509495,Septoria,0.00,0.00
1777211791.61,0.500006807705559,3.27493966509495,Septoria,0.00,0.00
1777211791.66,0.500006807705559,3.27493966509495,Septoria,0.00,0.00
1777211791.68,0.500006807705559,3.27493966509495,Septoria,0.00,0.00
1777211791.71,0.500006807705559,3.27493966509495,Septoria,0.00,0.00
1777211791.76,0.500006807705559,3.27493966509495,Septoria,0.00,0.00
1777211791.79,0.500006807705559,3.27493966509495,Septoria,0.00,0.00
1777211791.82,0.500006807705559,3.27493966509495,Yellow Leaf Curl Virus,0.00,0.00
1777211791.86,0.500005766051932,3.3499396650877,Yellow Leaf Curl Virus,0.00,0.00
1777211791.88,0.500005766051932,3.3499396650877,Yellow Leaf Curl Virus,0.00,0.00
1777211791.93,0.500005766051932,3.3499396650877,Yellow Leaf Curl Virus,0.00,0.00
1777211791.95,0.500005766051932,3.3499396650877,Yellow Leaf Curl Virus,0.00,0.00
1777211792.00,0.500005766051932,3.3499396650877,Yellow Leaf Curl Virus,0.00,0.00
1777211792.02,0.500005766051932,3.3499396650877,Septoria,0.00,0.00
1777211792.06,0.500005766051932,3.3499396650877,Septoria,0.00,0.00
1777211792.10,0.500005766051932,3.3499396650877,Septoria,0.00,0.00
1777211792.12,0.500005766051932,3.3499396650877,Septoria,0.00,0.00
1777211792.20,0.500005766051932,3.3499396650877,Septoria,0.00,0.00
1777211792.45,0.500004883782735,3.4249396650825,Spider Mites,0.00,0.00
1777211792.53,0.500004883782735,3.4249396650825,Spider Mites,0.00,0.00
1777211792.59,0.500004883782735,3.4249396650825,Spider Mites,0.00,0.00
1777211792.65,0.500004883782735,3.4249396650825,Bacterial Spot,0.00,0.00
1777211792.74,0.500004883782735,3.4249396650825,Bacterial Spot,0.00,0.00
1777211792.80,0.500004883782735,3.4249396650825,Leaf_Miner,0.00,0.00
1777211792.86,0.500004136510404,3.49993966507877,Leaf_Miner,0.00,0.00
1777211792.93,0.500004136510404,3.49993966507877,Leaf_Miner,0.00,0.00
1777211793.00,0.500004136510404,3.49993966507877,Leaf_Miner,0.00,0.00
1777211793.07,0.500004136510404,3.49993966507877,Spider Mites,0.00,0.00
1777211793.12,0.500004136510404,3.49993966507877,Spider Mites,0.00,0.00
1777211793.19,0.500004136510404,3.49993966507877,Spider Mites,0.00,0.00
1777211793.43,0.500003503578937,3.57493966507609,Mosaic Virus,0.00,0.00
1777211793.46,0.500003503578937,3.57493966507609,Mosaic Virus,0.00,0.00
1777211793.49,0.500003503578937,3.57493966507609,Mosaic Virus,0.00,0.00
1777211793.53,0.500003503578937,3.57493966507609,Mosaic Virus,0.00,0.00
1777211793.57,0.500003503578937,3.57493966507609,Mosaic Virus,0.00,0.00
1777211793.63,0.500003503578937,3.57493966507609,Spider Mites,0.00,0.00
1777211793.66,0.500003503578937,3.57493966507609,Spider Mites,0.00,0.00
1777211793.80,0.500003503578937,3.57493966507609,Spider Mites,0.00,0.00
1777211793.83,0.500003503578937,3.57493966507609,Septoria,0.00,0.00
1777211793.86,0.500002967492927,3.64993966507417,Septoria,0.00,0.00
1777211793.90,0.500002967492927,3.64993966507417,Septoria,0.00,0.00
1777211793.94,0.500002967492927,3.64993966507417,Septoria,0.00,0.00
1777211793.96,0.500002967492927,3.64993966507417,Septoria,0.00,0.00
1777211794.00,0.500002967492927,3.64993966507417,Spider Mites,0.00,0.00
1777211794.03,0.500002967492927,3.64993966507417,Late Blight,0.00,0.00
1777211794.08,0.500002967492927,3.64993966507417,Late Blight,0.00,0.00
1777211794.10,0.500002967492927,3.64993966507417,Late Blight,0.00,0.00
1777211794.13,0.500002967492927,3.64993966507417,Late Blight,0.00,0.00
1777211794.17,0.500002967492927,3.64993966507417,Late Blight,0.00,0.00
1777211794.23,0.500002967492927,3.64993966507417,Early Blight,0.00,0.00
1777211794.31,0.500002967492927,3.64993966507417,Early Blight,0.00,0.00
1777211794.37,0.500002513433958,3.72493966507279,Early Blight,0.00,0.00
1777211794.44,0.500002513433958,3.72493966507279,Leaf Mold,0.00,0.00
1777211794.50,0.500002513433958,3.72493966507279,Leaf Mold,0.00,0.00
1777211794.58,0.500002513433958,3.72493966507279,Leaf Mold,0.00,0.00
1777211794.65,0.500002513433958,3.72493966507279,Bacterial Spot,0.00,0.00
1777211794.71,0.500002513433958,3.72493966507279,Bacterial Spot,0.00,0.00
1777211794.79,0.500002513433958,3.72493966507279,Bacterial Spot,0.00,0.00
1777211794.85,0.500002128850991,3.7999396650718,Spider Mites,0.00,0.00
1777211794.91,0.500002128850991,3.7999396650718,Spider Mites,0.00,0.00
1777211794.98,0.500002128850991,3.7999396650718,Spider Mites,0.00,0.00
1777211795.05,0.500002128850991,3.7999396650718,Spider Mites,0.00,0.00
1777211795.11,0.500002128850991,3.7999396650718,Spider Mites,0.00,0.00
1777211795.18,0.500002128850991,3.7999396650718,Spider Mites,0.00,0.00
1777211795.24,0.500002128850991,3.7999396650718,Yellow Leaf Curl Virus,0.00,0.00
1777211795.32,0.500002128850991,3.7999396650718,Yellow Leaf Curl Virus,0.00,0.00
1777211795.38,0.500001803113437,3.87493966507109,Yellow Leaf Curl Virus,0.00,0.00
1777211795.45,0.500001803113437,3.87493966507109,Mosaic Virus,0.00,0.00
